'+++++++++++++++++++++
Race 1
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "vn_st_petersburg, formula_e"
Winner, "Jens Beetsma"
Led most laps, "Jens Beetsma"
Best lap, "Jens Beetsma (01:07.4120)"
Lasted laps, "18"
Host, "Unknown"


Race 1 result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "", "vrc_formula_lithium_2023_csp", "Jens Beetsma", "18", "    20:48.8790", "01:07.4120", "97.61%", "18", "0", 
"2",  "", "Delta Airlines Korean Air Racing", "vrc_formula_lithium_2023_csp", "Colin Kinzer", "18", "  '+00:03.6520", "01:07.9440", "98.25%", "0", "0", 
"3",  "", "River Racing", "vrc_formula_lithium_2023_csp", "Mateusz Wasik", "18", "  '+00:24.3780", "01:08.3800", "97.13%", "0", "0", 
"4",  "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "novic", "18", "  '+00:24.5400", "01:08.6950", "97.82%", "0", "0", 
"5",  "", "River Racing", "vrc_formula_lithium_2023_csp", "Josh Brookes", "18", "  '+00:26.9480", "01:08.3450", "97.39%", "0", "0", 
"6",  "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "Darkzi", "18", "  '+00:27.9860", "01:08.2430", "96.91%", "0", "0", 
"7",  "", "Delta Airline Korean Air Racing", "vrc_formula_lithium_2023_csp", "Alexander Sze", "18", "  '+00:37.8160", "01:09.2980", "98.28%", "0", "0", 
"8",  "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Nahteyue", "18", "  '+00:37.9310", "01:08.6660", "97.75%", "0", "0", 
"9",  "", "", "vrc_formula_lithium_2023_csp", "radspad113", "18", "  '+00:42.7680", "01:09.1690", "97.08%", "0", "0", 
"10",  "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "Tareek", "18", "  '+00:45.6940", "01:09.0030", "97.28%", "0", "0", 
"11",  "", "Polaris Motorsport", "vrc_formula_lithium_2023_csp", "Ali YARDIMCI", "18", "  '+01:02.3100", "01:08.4990", "96.65%", "0", "0", 
"12",  "", "Penaldo Penalty Motorsports", "vrc_formula_lithium_2023_csp", "Shane Ross", "17", "  '+00:51.0810", "01:09.4870", "97.22%", "0", "0", 
"13",  "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "bright", "13", "  '+00:07.5650", "01:07.7740", "98.08%", "0", "0", 
"14",  "", "Polaris Motorsport", "vrc_formula_lithium_2023_csp", "toguapotobo", "7", " ", "01:13.4490", "90.20%", "0", "0", 
"15",  "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "Alfie Bevan", "2", " ", "01:09.4110", "-", "0", "0", 
"16",  "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Miguel Soto", "1", " ", "01:21.4550", "-", "0", "0", 
"17",  "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Viktor Nightingale", "0", " DNF", "-", "-", "0", "0", 
"18",  "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Cameron McIntyre", "0", " DNF", "-", "-", "0", "0", 
"19",  "", "ASDA United", "vrc_formula_lithium_2023_csp", "cndelta", "0", " DNF", "-", "-", "0", "0", 
"20",  "", "Penaldo Penalty Motorsports", "vrc_formula_lithium_2023_csp", "Nick Chin", "0", " DNF", "-", "-", "0", "0", 
"21",  "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Law Loki", "0", " DNF", "-", "-", "0", "0", 
"22",  "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Ks", "0", " DNF", "-", "-", "0", "0", 
"23",  "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Diego Domingo", "0", " DNF", "-", "-", "0", "0", 
"24",  "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Skyp Cooper", "0", " DNF", "-", "-", "0", "0", 
"25",  "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Genius", "0", " DNF", "-", "-", "0", "0", 
"26",  "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "potatolad165", "0", " DNF", "-", "-", "0", "0", 
"27",  "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Veit Kolbe", "0", " DNF", "-", "-", "0", "0", 
"28",  "", "STREAMER", "vrc_formula_lithium_2023_csp", "Moskito1116", "0", " DNF", "-", "-", "0", "0", 


Race 1 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Jens Beetsma"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:17.1190", "27.2910", "23.1200", "26.7080",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.8110", "19.7970", "22.8550", "26.1590",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.8090", "19.5300", "22.8240", "26.4550",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3140", "21.0750", "22.5220", "25.7170",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:07.4120", "19.0870", "22.3880", "25.9370",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3380", "20.0550", "23.0980", "26.1850",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.6640", "19.5960", "22.7870", "26.2810",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.7280", "19.3680", "23.0030", "26.3570",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.5590", "19.5710", "22.7610", "26.2270",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.1960", "20.9970", "22.5220", "25.6770",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:07.7120", "19.2250", "22.4910", "25.9960",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.0550", "19.4110", "23.2600", "26.3840",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3140", "20.0220", "23.0220", "26.2700",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.5230", "19.9020", "23.2010", "26.4200",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.7610", "19.4500", "22.9900", "26.3210",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.1930", "19.7970", "23.0480", "26.3480",  "F:ST - R:ST",     
"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3820", "19.8140", "23.0050", "26.5630",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9620", "19.9770", "23.3100", "26.6750",  "F:ST - R:ST",     
Average,,,"01:09.3807", "20.2203", "22.9004", "26.2600"
Best possible,,, "01:07.1520", "19.0870", "22.3880", "25.6770"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Colin Kinzer"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:18.4950", "28.9000", "23.0980", "26.4970",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.6370", "20.3080", "22.8740", "26.4550",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.8730", "19.7380", "22.8280", "26.3070",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.6320", "19.6410", "22.6970", "26.2940",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9900", "21.2320", "22.8730", "25.8850",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.1160", "19.2330", "22.4230", "26.4600",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.0440", "19.8050", "22.8600", "26.3790",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9060", "19.7030", "22.8060", "26.3970",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9610", "19.7480", "22.8690", "26.3440",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.8720", "19.5790", "22.7030", "26.5900",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.5480", "21.1640", "22.6040", "25.7800",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:07.9440", "19.3980", "22.5260", "26.0200",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.2360", "19.8670", "22.9090", "26.4600",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.1630", "19.7660", "23.0850", "26.3120",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.2330", "19.7420", "23.0320", "26.4590",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3030", "19.7120", "23.0680", "26.5230",  "F:ST - R:ST",     
"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.1110", "19.6370", "23.0140", "26.4600",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.5250", "19.7540", "22.9680", "26.8030",  "F:ST - R:ST",     
Average,,,"01:09.5882", "20.3848", "22.8465", "26.3569"
Best possible,,, "01:07.4360", "19.2330", "22.4230", "25.7800"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Mateusz Wasik"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:19.4480", "29.1120", "23.6330", "26.7030",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.4190", "19.8700", "23.0170", "26.5320",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.1680", "19.6940", "22.9320", "26.5420",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:12.3550", "23.1250", "22.8640", "26.3660",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.4270", "19.5990", "23.4180", "26.4100",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.3580", "21.8980", "22.7740", "25.6860",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.4020", "19.2350", "22.7970", "26.3700",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.5950", "20.0360", "23.2210", "26.3380",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9550", "19.8680", "22.8780", "26.2090",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.2170", "21.6400", "22.7380", "25.8390",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.3800", "19.1730", "22.9360", "26.2710",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.8720", "19.8370", "23.2600", "26.7750",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.0100", "19.7570", "22.9690", "26.2840",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9980", "20.1650", "23.0850", "26.7480",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.4370", "20.0770", "23.8680", "26.4920",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.8080", "19.9430", "23.1300", "26.7350",  "F:ST - R:ST",     
"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:17.9500", "20.4350", "30.6630", "26.8520",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.5070", "20.3230", "23.2740", "26.9100",  "F:ST - R:ST",     
Average,,,"01:10.7392", "20.7659", "23.5254", "26.4479"
Best possible,,, "01:07.5970", "19.1730", "22.7380", "25.6860"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"novic"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:21.6890", "30.1380", "24.3130", "27.2380",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.6630", "20.2660", "23.0310", "26.3660",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.7030", "21.8960", "22.5540", "26.2530",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.6950", "19.5730", "22.7030", "26.4190",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.5260", "20.1700", "23.0450", "26.3110",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.7340", "19.6620", "22.8960", "26.1760",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7470", "19.7060", "22.9410", "27.1000",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.4110", "20.2180", "23.1170", "27.0760",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7200", "21.2010", "22.6840", "25.8350",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.0460", "20.8930", "22.7210", "26.4320",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9560", "19.7300", "22.9950", "26.2310",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.8290", "19.5800", "22.9590", "26.2900",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9930", "19.5970", "23.0170", "26.3790",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.0950", "19.8480", "22.9310", "26.3160",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.5130", "20.0180", "24.0800", "26.4150",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7560", "19.9140", "23.2010", "26.6410",  "F:ST - R:ST",     
"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:18.6820", "20.2270", "31.9730", "26.4820",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7290", "19.7020", "23.1890", "26.8380",  "F:ST - R:ST",     
Average,,,"01:10.7493", "20.6855", "23.5750", "26.4888"
Best possible,,, "01:07.9620", "19.5730", "22.5540", "25.8350"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Josh Brookes"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:25.4630", "35.0050", "23.4900", "26.9680",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.6750", "20.5400", "23.5040", "26.6310",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1290", "19.9630", "23.1170", "27.0490",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.2960", "21.4170", "22.8500", "26.0290",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.3450", "19.5920", "22.6080", "26.1450",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.8330", "19.9730", "22.8870", "26.9730",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.0460", "19.8200", "22.8290", "26.3970",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3240", "19.7430", "22.7970", "26.7840",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9750", "19.8310", "22.8330", "26.3110",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.4420", "19.6220", "23.1840", "26.6360",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3010", "21.0210", "22.6300", "25.6500",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.9180", "19.2470", "23.3600", "26.3110",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.8340", "19.8970", "23.2520", "26.6850",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3890", "19.9980", "22.9990", "26.3920",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1260", "19.6090", "23.1980", "27.3190",  "F:ST - R:ST",     
