'+++++++++++++++++++++
Race 1
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "melbourne, melbourne22_fe"
Winner, "bright"
Led most laps, "bright"
Best lap, "bright (01:37.9550)"
Lasted laps, "10"
Host, "Unknown"


Race 1 result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "bright", "10", "    16:57.9550", "01:37.9550", "96.94%", "9", "0", 
"2",  "", "River Racing", "vrc_formula_lithium_2023_csp", "Mateusz Wasik", "10", "  '+00:14.2000", "01:39.9020", "97.00%", "0", "0", 
"3",  "", "Delta Airlines Korean Air Racing", "vrc_formula_lithium_2023_csp", "Colin Kinzer", "10", "  '+00:15.3480", "01:39.6540", "97.04%", "0", "0", 
"4",  "", "", "vrc_formula_lithium_2023_csp", "Jens Beetsma", "10", "  '+00:19.2910", "01:46.5810", "-", "0", "0", 
"5",  "", "River Racing", "vrc_formula_lithium_2023_csp", "Josh Brookes", "10", "  '+00:19.5150", "01:40.4300", "96.06%", "0", "0", 
"6",  "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "novic", "10", "  '+00:20.0620", "01:39.9650", "96.84%", "0", "0", 
"7",  "", "", "vrc_formula_lithium_2023_csp", "Jack Olivier", "10", "  '+00:24.7110", "01:41.5450", "-", "0", "0", 
"8",  "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Ks", "10", "  '+00:26.8960", "01:39.8370", "96.29%", "0", "0", 
"9",  "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "Tareek", "10", "  '+00:33.8560", "01:41.3730", "97.56%", "0", "0", 
"10",  "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Nahteyue", "10", "  '+00:33.9510", "01:39.5150", "95.84%", "0", "0", 
"11",  "", "ASDA United", "vrc_formula_lithium_2023_csp", "cndelta", "10", "  '+00:34.1090", "01:42.3110", "-", "0", "0", 
"12",  "", "", "vrc_formula_lithium_2023_csp", "Shane Ross", "10", "  '+00:38.6660", "01:40.6090", "96.60%", "0", "0", 
"13",  "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Miguel Soto", "10", "  '+00:47.4870", "01:42.3200", "95.60%", "0", "0", 
"14",  "", "", "vrc_formula_lithium_2023_csp", "Nick Chin", "10", "  '+00:50.9540", "01:40.2210", "96.40%", "0", "0", 
"15",  "", "", "vrc_formula_lithium_2023_csp", "Olilem", "10", "  '+00:51.9840", "01:43.7750", "98.43%", "0", "0", 
"16",  "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Aitor Montero", "10", "  '+00:58.8690", "01:40.8520", "-", "0", "0", 
"17",  "", "", "vrc_formula_lithium_2023_csp", "Ali YARDIMCI", "10", "  '+01:16.8320", "01:42.9780", "96.74%", "0", "0", 
"18",  "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Cameron McIntyre", "10", "  '+01:18.7950", "01:46.6890", "97.80%", "0", "0", 
"19",  "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "Darkzi", "5", "  '+00:05.6460", "01:39.8910", "97.23%", "1", "0", 
"20",  "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Skyp Cooper", "0", " DNF", "-", "-", "0", "0", 
"21",  "", "Delta Airline Korean Air Racing", "vrc_formula_lithium_2023_csp", "Alexander Sze", "0", " DNF", "-", "-", "0", "0", 
"22",  "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "Alfie Bevan", "0", " DNF", "-", "-", "0", "0", 
"23",  "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Law Loki", "0", " DNF", "-", "-", "0", "0", 
"24",  "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Viktor Nightingale", "0", " DNF", "-", "-", "0", "0", 
"25",  "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "potatolad165", "0", " DNF", "-", "-", "0", "0", 
"26",  "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Veit Kolbe", "0", " DNF", "-", "-", "0", "0", 
"27",  "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Diego Domingo", "0", " DNF", "-", "-", "0", "0", 
"28",  "", "STREAMER", "vrc_formula_lithium_2023_csp", "Moskito1116", "0", " DNF", "-", "-", "0", "0", 


Race 1 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bright"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:53.0720", "41.8280", "20.9840", "50.2600",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.2320", "33.7610", "20.7680", "49.7030",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:38.8150", "33.2640", "20.0650", "45.4860",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.2520", "33.3050", "20.8850", "46.0620",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.0310", "33.5400", "20.7400", "46.7510",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:37.9550", "32.7100", "20.0470", "45.1980",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.5500", "33.4060", "20.8170", "46.3270",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.5950", "33.5190", "20.7940", "46.2820",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.4240", "33.4650", "20.7940", "46.1650",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.0360", "33.7570", "20.7720", "46.5070",  "F:ST - R:ST",     "0 ",  
Average,,,"01:41.7962", "34.2555", "20.6666", "46.8741"
Best possible,,, "01:37.9550", "32.7100", "20.0470", "45.1980"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Mateusz Wasik"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:53.4600", "42.7460", "21.8120", "48.9020",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:45.4710", "34.0960", "20.8300", "50.5450",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.7600", "33.9290", "20.0610", "45.7700",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8000", "33.7150", "20.7410", "47.3440",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.3060", "36.0820", "20.7940", "47.4300",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.9020", "33.1400", "20.2780", "46.4840",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6490", "33.7970", "20.9880", "46.8640",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.1870", "33.6640", "20.8670", "46.6560",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.0370", "33.8220", "20.9510", "47.2640",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.6190", "33.7460", "20.8360", "48.0370",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"01:43.2191", "34.8737", "20.8158", "47.5296"
Best possible,,, "01:38.9710", "33.1400", "20.0610", "45.7700"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Colin Kinzer"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:55.8400", "45.9100", "22.0370", "47.8930",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:45.0180", "35.1240", "21.0780", "48.8160",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.5940", "34.5230", "21.2770", "47.7940",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.6540", "33.7010", "20.1380", "45.8150",  "F:ST - R:ST",     "0 ",  
