'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "zandvoort2023, formula_e"
"
Best lap, "novic (01:27.4110)"
Lasted laps, "11"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "novic", "11", "01:27.4110", "-",
"2",   "", "River Racing", "vrc_formula_lithium_2023_csp", "Mateusz Wasik", "7", "01:27.7220", "00:00.3110",
"3",   "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Nahteyue", "10", "01:27.8800", "00:00.4690",
"4",   "", "River Racing", "vrc_formula_lithium_2023_csp", "Josh Brookes", "10", "01:28.1410", "00:00.7300",
"5",   "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Miguel Soto", "9", "01:28.5830", "00:01.1720",
"6",   "", "", "vrc_formula_lithium_2023_csp", "Neeun_JTS3", "8", "01:29.0840", "00:01.6730",
"7",   "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "Alfie Bevan", "0", "-", "-",
"8",   "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Skyp Cooper", "0", "-", "-",
"9",   "", "Celestia Motorsport", "vrc_formula_lithium_2023_csp", "Law Loki", "0", "-", "-",
"10",   "", "Penaldo Penalty Motorsports", "vrc_formula_lithium_2023_csp", "Shane Ross", "0", "-", "-",
"11",   "", "Polaris Motorsport", "vrc_formula_lithium_2023_csp", "Ali YARDIMCI", "0", "-", "-",
"12",   "", "Bugatti Rimac", "vrc_formula_lithium_2023_csp", "Tareek", "0", "-", "-",
"13",   "", "Holden Racing Team", "vrc_formula_lithium_2023_csp", "Cameron McIntyre", "0", "-", "-",
"14",   "", "ASDA United", "vrc_formula_lithium_2023_csp", "cndelta", "0", "-", "-",
"15",   "", "Polaris Motorsport", "vrc_formula_lithium_2023_csp", "toguapotobo", "0", "-", "-",
"16",   "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Genius", "0", "-", "-",
"17",   "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "Darkzi", "0", "-", "-",
"18",   "", "Penaldo Penalty Motorsports", "vrc_formula_lithium_2023_csp", "Nick Chin", "0", "-", "-",
"19",   "", "Silver Racing Club", "vrc_formula_lithium_2023_csp", "Diego Domingo", "0", "-", "-",
"20",   "", "Leftest Turn Right", "vrc_formula_lithium_2023_csp", "potatolad165", "0", "-", "-",
"21",   "", "ASML McLaren Racing", "vrc_formula_lithium_2023_csp", "bright", "0", "-", "-",
"22",   "", "Delta Airline Korean Air Racing", "vrc_formula_lithium_2023_csp", "Alexander Sze", "0", "-", "-",
"23",   "", "Delta Airlines Korean Air Racing", "vrc_formula_lithium_2023_csp", "Colin Kinzer", "0", "-", "-",
"24",   "", "Gabagool Racing", "vrc_formula_lithium_2023_csp", "Ks", "0", "-", "-",
"25",   "", "Le Samurai Motorsport", "vrc_formula_lithium_2023_csp", "Viktor Nightingale", "0", "-", "-",
"26",   "", "STREAMER", "vrc_formula_lithium_2023_csp", "Moskito1116", "0", "-", "-",

Practice laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"novic"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "02:16.8960", "70.7910", "37.2500", "28.8550",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:29.9860", "37.5740", "23.6890", "28.7230",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:28.4890", "37.2430", "23.7560", "27.4900",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:28.5120", "37.2250", "23.7650", "27.5220",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "02:11.1180", "74.8990", "23.6300", "32.5890",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:28.8740", "37.2780", "24.3440", "27.2520",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:27.4110", "36.8670", "23.4090", "27.1350",  "F:ST - R:ST",     "0 ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "02:22.1500", "91.1020", "23.5490", "27.4990",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:28.4170", "36.6710", "23.7290", "28.0170",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "03:05.6570", "36.7840", "23.7960", "125.0770",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:30.7850", "39.6210", "23.8900", "27.2740",  "F:ST - R:ST",     "0 ",  
Average,,,"01:50.7542", "48.7323", "24.9825", "37.0394"
Best possible,,, "01:27.2150", "36.6710", "23.4090", "27.1350"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Mateusz Wasik"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "07:32.6960", "400.7210", "24.1430", "27.8320",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:28.1760", "37.4510", "23.5580", "27.1670",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:27.8760", "37.0880", "23.6440", "27.1440",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:27.7220", "37.0880", "23.5810", "27.0530",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "05:25.3390", "273.7020", "23.9480", "27.6890",  "F:ST - R:ST",     "3  (0s e.t. <>  0s gain) ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:27.8680", "37.1130", "23.4900", "27.2650",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "04:49.5400", "238.4240", "23.8600", "27.2560",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"03:22.7453", "151.6553", "23.7463", "27.3437"
Best possible,,, "01:27.6310", "37.0880", "23.4900", "27.0530"

