'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "ks_silverstone, gp"
"
Best lap, "M. Wasik (01:35.4270)"
Lasted laps, "11"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "rss_formula_rss_supreme", "M. Wasik", "7", "01:35.4270", "-",
"2",   "", "", "rss_formula_rss_supreme", "novic", "11", "01:35.5690", "00:00.1420",
"3",   "", " The Balkan Terrorists", "rss_formula_rss_supreme", "66rosso66", "10", "01:35.9780", "00:00.5510",
"4",   "", "The Balkan Terrorists", "rss_formula_rss_supreme", "chichkodibel", "9", "01:36.1200", "00:00.6930",
"5",   "", "SuperAssBeater", "rss_formula_rss_supreme", "tangentclamp600", "6", "01:36.2260", "00:00.7990",
"6",   "", "", "rss_formula_rss_supreme", "cndelta", "5", "01:36.2660", "00:00.8390",
"7",   "", "", "rss_formula_rss_supreme", "Tareek", "4", "01:37.7390", "00:02.3120",
"8",   "", "", "rss_formula_rss_supreme", "Josh Rivers", "7", "01:37.9960", "00:02.5690",
"9",   "", "Messi Goat Racing", "rss_formula_rss_supreme", "gameymanager209", "0", "-", "-",
"10",   "", "Backmarkers HQ", "rss_formula_rss_supreme", "whittleyoon", "0", "-", "-",
"11",   "", "MackaLaren Racing", "rss_formula_rss_supreme", "bright9", "0", "-", "-",
"12",   "", "Messi Goat Racing", "rss_formula_rss_supreme", "bama22x", "0", "-", "-",
"13",   "", " Backmarkers HQ", "rss_formula_rss_supreme", "potatolad165", "0", "-", "-",
"14",   "", "", "rss_formula_rss_supreme", "Neeun_JTS3", "0", "-", "-",
"15",   "", "SlowAF", "rss_formula_rss_supreme", "Nahteyue", "0", "-", "-",
"16",   "", "FAT Sim Racing", "rss_formula_rss_supreme", "shinywaffles", "0", "-", "-",
"17",   "", "MackaLaren Racing", "rss_formula_rss_supreme", "jack0li", "0", "-", "-",
"18",   "", "", "rss_formula_rss_supreme", "Moskito1116", "0", "-", "-",

Practice laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"M. Wasik"
"1 ", rss_formula_rss_supreme, no,"0", "05:02.5140", "232.2150", "42.4710", "27.8280",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:37.4070", "26.5540", "42.8170", "28.0360",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:42.4510", "27.1530", "43.1000", "32.1980",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:35.4780", "26.4790", "41.6020", "27.3970",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "08:43.7720", "454.4360", "41.8860", "27.4500",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "01:36.1140", "26.5840", "41.9350", "27.5950",  "F:S - R:S",     "0 ",  
"7 ", rss_formula_rss_supreme, no,"0", "01:35.4270", "26.5230", "41.6560", "27.2480",  "F:S - R:S",     "0 ",  
Average,,,"03:07.5948", "117.1349", "42.2096", "28.2503"
Best possible,,, "01:35.3290", "26.4790", "41.6020", "27.2480"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"novic"
"1 ", rss_formula_rss_supreme, no,"0", "03:48.2680", "152.4250", "47.3710", "28.4720",  "F:S - R:S",     "4  (0s e.t. <>  0s gain) ",  
"2 ", rss_formula_rss_supreme, no,"0", "04:08.6890", "179.4120", "42.0020", "27.2750",  "F:S - R:S",     "4  (0s e.t. <>  0s gain) ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:36.2380", "26.6280", "41.9120", "27.6980",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:35.7560", "26.6820", "41.5210", "27.5530",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "01:35.5690", "26.6510", "41.4820", "27.4360",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "01:35.5810", "26.5290", "41.4720", "27.5800",  "F:S - R:S",     "0 ",  
"7 ", rss_formula_rss_supreme, no,"0", "03:36.3740", "128.6060", "48.8620", "38.9060",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"8 ", rss_formula_rss_supreme, no,"0", "01:35.6360", "26.5980", "41.4530", "27.5850",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"9 ", rss_formula_rss_supreme, no,"0", "01:35.7440", "26.5660", "41.6430", "27.5350",  "F:S - R:S",     "0 ",  
"10 ", rss_formula_rss_supreme, no,"0", "01:38.8140", "26.6340", "41.6340", "30.5460",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"11 ", rss_formula_rss_supreme, no,"0", "01:46.2080", "26.7030", "43.8160", "35.6890",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
Average,,,"02:13.8980", "61.2213", "43.0153", "29.6614"
Best possible,,, "01:35.2570", "26.5290", "41.4530", "27.2750"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"66rosso66"
"1 ", rss_formula_rss_supreme, no,"0", "02:06.5410", "54.8470", "43.4660", "28.2280",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "02:52.3730", "100.8910", "42.5210", "28.9610",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"3 ", rss_formula_rss_supreme, no,"0", "01:37.2390", "26.9130", "42.3890", "27.9370",  "F:S - R:S",     "0 ",  
"4 ", rss_formula_rss_supreme, no,"0", "02:54.6220", "100.1150", "46.1070", "28.4000",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"5 ", rss_formula_rss_supreme, no,"0", "02:04.8620", "54.2480", "42.4800", "28.1340",  "F:S - R:S",     "0 ",  
"6 ", rss_formula_rss_supreme, no,"0", "01:37.4500", "27.0380", "42.3100", "28.1020",  "F:S - R:S",     "0 ",  
"7 ", rss_formula_rss_supreme, no,"0", "01:36.6610", "26.6190", "42.0470", "27.9950",  "F:S - R:S",     "0 ",  
"8 ", rss_formula_rss_supreme, no,"0", "06:45.5770", "330.9810", "43.4970", "31.0990",  "F:S - R:S",     "0 ",  
"9 ", rss_formula_rss_supreme, no,"0", "01:40.5170", "27.0150", "44.3240", "29.1780",  "F:S - R:S",     "0 ",  
"10 ", rss_formula_rss_supreme, no,"0", "01:35.9780", "26.5980", "41.5480", "27.8320",  "F:S - R:S",     "0 ",  
Average,,,"02:29.1820", "77.5265", "43.0689", "28.5866"
Best possible,,, "01:35.9780", "26.5980", "41.5480", "27.8320"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"chichkodibel"
"1 ", rss_formula_rss_supreme, no,"0", "02:28.7400", "75.6640", "44.5010", "28.5750",  "F:S - R:S",     "0 ",  
"2 ", rss_formula_rss_supreme, no,"0", "01:36.9200", "26.9540", "42.0530", "27.9130",  "F:S - R:S",     "0 ",  
"3 ", rss_formula_rss_supreme, no,"0", "02:31.6890", "73.9920", "46.0070", "31.6900",  "F:S - R:S",     "4  (0s e.t. <>  0s gain) ",  
"4 ", rss_formula_rss_supreme, no,"0", "01:36.6280", "26.9100", "41.9220", "27.7960",  "F:S - R:S",     "0 ",  
"5 ", rss_formula_rss_supreme, no,"0", "03:34.8260", "144.2040", "42.3270", "28.2950",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"6 ", rss_formula_rss_supreme, no,"0", "02:22.3420", "72.8390", "41.9580", "27.5450",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"7 ", rss_formula_rss_supreme, no,"0", "01:36.4580", "26.7450", "41.8580", "27.8550",  "F:S - R:S",     "0 ",  
"8 ", rss_formula_rss_supreme, no,"0", "01:36.2940", "26.8540", "41.8050", "27.6350",  "F:S - R:S",     "0 ",  
"9 ", rss_formula_rss_supreme, no,"0", "01:36.1200", "26.7650", "41.5900", "27.7650",  "F:S - R:S",     "0 ",  
Average,,,"02:06.6686", "55.6586", "42.6690", "28.3410"
Best possible,,, "01:35.8800", "26.7450", "41.5900", "27.5450"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"tangentclamp600"
